Monat,schneemann
2004-01,9
2004-02,10
2004-03,0
2004-04,3
2004-05,0
2004-06,2
2004-07,2
2004-08,0
2004-09,6
2004-10,8
2004-11,27
2004-12,39
2005-01,9
2005-02,7
2005-03,6
2005-04,8
2005-05,2
2005-06,2
2005-07,5
2005-08,2
2005-09,7
2005-10,7
2005-11,24
2005-12,28
2006-01,14
2006-02,7
2006-03,3
2006-04,4
2006-05,3
2006-06,3
2006-07,3
2006-08,3
2006-09,7
2006-10,7
2006-11,17
2006-12,31
2007-01,13
2007-02,8
2007-03,3
2007-04,3
2007-05,6
2007-06,4
2007-07,4
2007-08,5
2007-09,4
2007-10,9
2007-11,20
2007-12,31
2008-01,13
2008-02,6
2008-03,5
2008-04,4
2008-05,3
2008-06,3
2008-07,4
2008-08,4
2008-09,7
2008-10,8
2008-11,22
2008-12,36
2009-01,22
2009-02,8
2009-03,5
2009-04,3
2009-05,5
2009-06,4
2009-07,4
2009-08,4
2009-09,5
2009-10,8
2009-11,18
2009-12,38
2010-01,32
2010-02,15
2010-03,6
2010-04,6
2010-05,5
2010-06,4
2010-07,3
2010-08,5
2010-09,5
2010-10,8
2010-11,23
2010-12,45
2011-01,20
2011-02,10
2011-03,6
2011-04,4
2011-05,3
2011-06,4
2011-07,5
2011-08,5
2011-09,6
2011-10,11
2011-11,27
2011-12,43
2012-01,23
2012-02,19
2012-03,5
2012-04,6
2012-05,5
2012-06,5
2012-07,5
2012-08,6
2012-09,7
2012-10,12
2012-11,27
2012-12,51
2013-01,26
2013-02,14
2013-03,12
2013-04,6
2013-05,5
2013-06,4
2013-07,4
2013-08,5
2013-09,8
2013-10,11
2013-11,37
2013-12,61
2014-01,33
2014-02,18
2014-03,10
2014-04,11
2014-05,9
2014-06,7
2014-07,8
2014-08,9
2014-09,10
2014-10,17
2014-11,46
2014-12,84
2015-01,43
2015-02,25
2015-03,12
2015-04,9
2015-05,7
2015-06,8
2015-07,7
2015-08,8
2015-09,12
2015-10,22
2015-11,54
2015-12,76
2016-01,55
2016-02,18
2016-03,12
2016-04,8
2016-05,6
2016-06,6
2016-07,7
2016-08,9
2016-09,10
2016-10,24
2016-11,58
2016-12,72
2017-01,67
2017-02,21
2017-03,9
2017-04,6
2017-05,8
2017-06,5
2017-07,12
2017-08,9
2017-09,16
2017-10,95
2017-11,100
2017-12,89
2018-01,38
2018-02,32
2018-03,18
2018-04,8
2018-05,7
2018-06,16
2018-07,11
2018-08,8
2018-09,11
2018-10,17
2018-11,44
2018-12,66
2019-01,46
2019-02,19
2019-03,11
2019-04,7
2019-05,5
2019-06,10
2019-07,9
2019-08,7
2019-09,10
2019-10,17
2019-11,50
2019-12,78
2020-01,29
2020-02,17
2020-03,8
2020-04,8
2020-05,7
2020-06,7
2020-07,6
2020-08,6
2020-09,9
2020-10,16
2020-11,44
2020-12,75
2021-01,71
2021-02,36
2021-03,9
2021-04,29
2021-05,7
2021-06,5
2021-07,6
2021-08,6
2021-09,7
2021-10,16
2021-11,44
2021-12,70
2022-01,48
2022-02,14
2022-03,8
2022-04,8
2022-05,6
2022-06,6
2022-07,6
2022-08,6
2022-09,9
2022-10,14
2022-11,43
2022-12,84
2023-01,31
2023-02,18
