Monat,sonnenbrand
2004-01,0
2004-02,4
2004-03,4
2004-04,3
2004-05,14
2004-06,8
2004-07,11
2004-08,11
2004-09,4
2004-10,3
2004-11,0
2004-12,3
2005-01,3
2005-02,2
2005-03,3
2005-04,7
2005-05,23
2005-06,33
2005-07,13
2005-08,9
2005-09,5
2005-10,6
2005-11,2
2005-12,2
2006-01,2
2006-02,2
2006-03,2
2006-04,5
2006-05,12
2006-06,32
2006-07,39
2006-08,4
2006-09,3
2006-10,3
2006-11,1
2006-12,3
2007-01,3
2007-02,4
2007-03,4
2007-04,8
2007-05,10
2007-06,15
2007-07,21
2007-08,13
2007-09,3
2007-10,2
2007-11,2
2007-12,2
2008-01,3
2008-02,4
2008-03,5
2008-04,9
2008-05,20
2008-06,24
2008-07,21
2008-08,11
2008-09,4
2008-10,3
2008-11,3
2008-12,3
2009-01,3
2009-02,3
2009-03,5
2009-04,10
2009-05,20
2009-06,18
2009-07,27
2009-08,20
2009-09,3
2009-10,3
2009-11,2
2009-12,1
2010-01,3
2010-02,2
2010-03,4
2010-04,10
2010-05,15
2010-06,29
2010-07,37
2010-08,7
2010-09,3
2010-10,2
2010-11,2
2010-12,2
2011-01,3
2011-02,4
2011-03,6
2011-04,19
2011-05,19
2011-06,39
2011-07,20
2011-08,23
2011-09,7
2011-10,4
2011-11,3
2011-12,3
2012-01,3
2012-02,5
2012-03,7
2012-04,11
2012-05,53
2012-06,26
2012-07,40
2012-08,37
2012-09,6
2012-10,4
2012-11,2
2012-12,3
2013-01,2
2013-02,3
2013-03,4
2013-04,14
2013-05,20
2013-06,56
2013-07,65
2013-08,25
2013-09,7
2013-10,3
2013-11,3
2013-12,2
2014-01,2
2014-02,3
2014-03,6
2014-04,9
2014-05,29
2014-06,58
2014-07,38
2014-08,15
2014-09,6
2014-10,3
2014-11,2
2014-12,3
2015-01,3
2015-02,3
2015-03,6
2015-04,18
2015-05,19
2015-06,58
2015-07,75
2015-08,32
2015-09,6
2015-10,3
2015-11,2
2015-12,2
2016-01,3
2016-02,3
2016-03,5
2016-04,10
2016-05,45
2016-06,55
2016-07,63
2016-08,31
2016-09,9
2016-10,3
2016-11,3
2016-12,3
2017-01,3
2017-02,4
2017-03,8
2017-04,12
2017-05,70
2017-06,92
2017-07,34
2017-08,23
2017-09,6
2017-10,3
2017-11,2
2017-12,3
2018-01,4
2018-02,4
2018-03,6
2018-04,24
2018-05,44
2018-06,36
2018-07,71
2018-08,35
2018-09,6
2018-10,4
2018-11,2
2018-12,3
2019-01,3
2019-02,5
2019-03,8
2019-04,20
2019-05,20
2019-06,87
2019-07,48
2019-08,21
2019-09,7
2019-10,3
2019-11,2
2019-12,3
2020-01,4
2020-02,4
2020-03,5
2020-04,25
2020-05,26
2020-06,60
2020-07,45
2020-08,47
2020-09,6
2020-10,3
2020-11,2
2020-12,2
2021-01,2
2021-02,4
2021-03,6
2021-04,14
2021-05,30
2021-06,88
2021-07,40
2021-08,21
2021-09,8
2021-10,4
2021-11,3
2021-12,3
2022-01,3
2022-02,5
2022-03,11
2022-04,17
2022-05,38
2022-06,100
2022-07,66
2022-08,43
2022-09,9
2022-10,4
2022-11,3
2022-12,3
2023-01,4
2023-02,4
